system:index,EVI,NDMI,NDVI,NDWI,SAVI,VH,VV,VV_VH_ratio,canal_priority_score,crop_type,field_id,growth_stage,latitude,longitude,moisture_stress,recommended_depth_mm,sar_available,stress_score,water_deficit_mm,.geo
14,0.06363909121832934,-0.17035041749477386,0.07921265810728073,-0.18170665204524994,0.06400744474421516,-23.797147350740513,-13.444772259894366,0.5649741385683412,10.0,Unclassified,GEE-PIXEL-14,Sowing/Planting,29.72372478964735,76.69047460730266,Severe Stress,50.0,1,1.0,40.0,"{""type"":""Point"",""coordinates"":[76.69047460730266,29.72372478964735]}"
15,0.10959446447508714,-0.12045889347791672,0.1328527182340622,-0.23470178246498108,0.10587239251941516,-21.58911547125591,-14.172238512666109,0.656452979187046,10.0,Unclassified,GEE-PIXEL-15,Sowing/Planting,29.87113894064263,76.9229311668257,Severe Stress,50.0,1,1.0,40.0,"{""type"":""Point"",""coordinates"":[76.9229311668257,29.87113894064263]}"
18,0.0546885477639686,-0.1671362668275833,0.09867630153894424,-0.20927153527736664,0.05910620530423691,-24.34601963291851,-15.151023257391627,0.6223203672778664,10.0,Unclassified,GEE-PIXEL-18,Sowing/Planting,29.646228120451475,76.69955822180833,Severe Stress,50.0,1,1.0,40.0,"{""type"":""Point"",""coordinates"":[76.69955822180833,29.646228120451475]}"
19,0.25137750352809607,-0.07360818237066269,0.3172932267189026,-0.4106280207633972,0.2453488306949133,-21.079653315684787,-13.036953460233317,0.6184615033015929,10.0,Unclassified,GEE-PIXEL-19,Vegetative,29.61165953171592,76.5256762406555,Severe Stress,50.0,1,1.0,40.0,"{""type"":""Point"",""coordinates"":[76.5256762406555,29.61165953171592]}"
20,0.06927536823265265,-0.15907548367977142,0.07205452769994736,-0.15260452032089233,0.05613560549875388,-24.56956396456365,-13.909541081433579,0.566128958072845,10.0,Unclassified,GEE-PIXEL-20,Sowing/Planting,29.73668299098671,76.77203644230622,Severe Stress,50.0,1,1.0,40.0,"{""type"":""Point"",""coordinates"":[76.77203644230622,29.73668299098671]}"
21,0.1882500040449349,0.0229344479739666,0.2192458212375641,-0.26121458411216736,0.16498097392434827,-17.823356782480992,-9.879389474919344,0.5542945781641208,9.7935899682343,Unclassified,GEE-PIXEL-21,Sowing/Planting,29.66129617843013,77.05231479523528,Severe Stress,48.85327760130167,1,0.9770655520260334,39.082622081041336,"{""type"":""Point"",""coordinates"":[77.05231479523528,29.66129617843013]}"
22,0.039437455748697905,-0.13134287297725677,0.04308682680130005,-0.1256072223186493,0.03582888558466193,-25.448666368685227,-13.259376895216965,0.5210244507176682,10.0,Unclassified,GEE-PIXEL-22,Sowing/Planting,29.67811154031239,76.9530413369422,Severe Stress,50.0,1,1.0,40.0,"{""type"":""Point"",""coordinates"":[76.9530413369422,29.67811154031239]}"
23,0.06919243498529351,-0.14570054411888123,0.05540429800748825,-0.09219462424516678,0.04566770537024827,-18.882291734294107,-7.010337989523958,0.37126522878877977,10.0,Unclassified,GEE-PIXEL-23,Sowing/Planting,29.73596906629155,77.05690825566175,Severe Stress,50.0,1,1.0,40.0,"{""type"":""Point"",""coordinates"":[77.05690825566175,29.73596906629155]}"
24,0.13565203505717777,-0.07440372556447983,0.2782632112503052,-0.3593895435333252,0.15634436273443167,-22.23567965985749,-12.160327941444084,0.5468835976388419,10.0,Unclassified,GEE-PIXEL-24,Vegetative,29.604408576693274,77.06423330089184,Severe Stress,50.0,1,1.0,40.0,"{""type"":""Point"",""coordinates"":[77.06423330089184,29.604408576693274]}"
25,0.12575761323652057,-0.052001625299453735,0.1339237093925476,-0.20786292850971222,0.11069194550242299,-19.22238087767213,-13.176430182787907,0.685473404783404,10.0,Unclassified,GEE-PIXEL-25,Sowing/Planting,29.76921793935023,76.95368451769339,Severe Stress,50.0,1,1.0,40.0,"{""type"":""Point"",""coordinates"":[76.95368451769339,29.76921793935023]}"
26,0.062358614779420285,-0.16542184352874756,0.07745810598134995,-0.1745026856660843,0.0590213810399355,-21.643576422881438,-8.897177420030959,0.41107706310968034,10.0,Unclassified,GEE-PIXEL-26,Sowing/Planting,29.614407147095175,76.59869951037784,Severe Stress,50.0,1,1.0,40.0,"{""type"":""Point"",""coordinates"":[76.59869951037784,29.614407147095175]}"
27,0.17860713015714538,-0.030072100460529327,0.21102361381053925,-0.24635331332683563,0.15952380677841416,-18.55950916570831,-9.802667112196454,0.5281749400185327,10.0,Unclassified,GEE-PIXEL-27,Sowing/Planting,29.47905050582048,76.93870517277358,Severe Stress,50.0,1,1.0,40.0,"{""type"":""Point"",""coordinates"":[76.93870517277358,29.47905050582048]}"
29,0.08377484718586434,-0.15070538222789764,0.10711434483528137,-0.1858479529619217,0.07663178912595991,-18.771951322356323,-8.926861243721072,0.4755425563368176,10.0,Unclassified,GEE-PIXEL-29,Sowing/Planting,29.642646145473652,76.97138297777113,Severe Stress,50.0,1,1.0,40.0,"{""type"":""Point"",""coordinates"":[76.97138297777113,29.642646145473652]}"
33,0.06518231452313386,-0.13890857994556427,0.07296399027109146,-0.18617284297943115,0.062295378657685536,-21.18344725123695,-13.082712444945631,0.6175913158691874,10.0,Unclassified,GEE-PIXEL-33,Sowing/Planting,29.937989816726986,76.9450061021092,Severe Stress,50.0,1,1.0,40.0,"{""type"":""Point"",""coordinates"":[76.9450061021092,29.937989816726986]}"
34,0.07375775013324123,-0.1544453501701355,0.07779634743928909,-0.14427509903907776,0.06360329437418663,-26.816572720141018,-17.891771174781766,0.6671908460746258,10.0,Unclassified,GEE-PIXEL-34,Sowing/Planting,29.854825548595418,76.83657115215763,Severe Stress,50.0,1,1.0,40.0,"{""type"":""Point"",""coordinates"":[76.83657115215763,29.854825548595418]}"
35,0.07032857354547323,-0.17071865499019623,0.09276538342237473,-0.18039624392986298,0.0740099419386253,-21.638429165554193,-11.79359553780471,0.5450301402473732,10.0,Unclassified,GEE-PIXEL-35,Sowing/Planting,29.51603266278789,76.72063336472591,Severe Stress,50.0,1,1.0,40.0,"{""type"":""Point"",""coordinates"":[76.72063336472591,29.51603266278789]}"
36,0.04090621757114079,-0.17979280650615692,0.04710143432021141,-0.14184117317199707,0.0370722329245231,-23.422672245796782,-10.529526833913582,0.44954423530164667,10.0,Unclassified,GEE-PIXEL-36,Sowing/Planting,29.522587948636897,76.53388845267398,Severe Stress,50.0,1,1.0,40.0,"{""type"":""Point"",""coordinates"":[76.53388845267398,29.522587948636897]}"
37,0.08232587403041149,-0.14175114035606384,0.09707825630903244,-0.19211307168006897,0.07619895458957093,-20.78947390468572,-9.949172446814373,0.47856780652538516,10.0,Unclassified,GEE-PIXEL-37,Sowing/Planting,29.532210711114146,76.70271702048261,Severe Stress,50.0,1,1.0,40.0,"{""type"":""Point"",""coordinates"":[76.70271702048261,29.532210711114146]}"
39,0.15925758880768223,-0.08911127597093582,0.19786812365055084,-0.2701020836830139,0.1416728862203367,-19.130411491632586,-9.445424599092018,0.4937387309709499,10.0,Unclassified,GEE-PIXEL-39,Sowing/Planting,29.82048336424158,76.97165366951387,Severe Stress,50.0,1,1.0,40.0,"{""type"":""Point"",""coordinates"":[76.97165366951387,29.82048336424158]}"
40,0.08077108199244243,-0.142938494682312,0.09813936799764633,-0.1774117648601532,0.07698912697149848,-17.138944525483947,-7.007160493954197,0.4088443656713863,10.0,Unclassified,GEE-PIXEL-40,Sowing/Planting,29.55634784081278,76.61756962037438,Severe Stress,50.0,1,1.0,40.0,"{""type"":""Point"",""coordinates"":[76.61756962037438,29.55634784081278]}"
41,0.09913019174820631,-0.10260789096355438,0.16228286921977997,-0.2937968969345093,0.10987832701149858,-21.50095392204007,-11.342980873553028,0.5275571233833842,10.0,Unclassified,GEE-PIXEL-41,Sowing/Planting,29.566423415883875,76.97558991436823,Severe Stress,50.0,1,1.0,40.0,"{""type"":""Point"",""coordinates"":[76.97558991436823,29.566423415883875]}"
44,0.45804415644439445,0.1326381117105484,0.7266876101493835,-0.711288571357727,0.47017871987505927,-16.45307787080481,-8.205242399764083,0.49870565026799873,8.806256994605064,Paddy (Rice),GEE-PIXEL-44,Flowering,29.66728286421761,77.08466243217252,Severe Stress,43.36809441447258,1,0.8673618882894516,34.694475531578064,"{""type"":""Point"",""coordinates"":[77.08466243217252,29.66728286421761]}"
45,0.07436231957552389,-0.1966044008731842,0.09262765944004059,-0.2283906787633896,0.06915866520866257,-24.51956388011107,-14.053990871400242,0.573174609193383,10.0,Unclassified,GEE-PIXEL-45,Sowing/Planting,29.745112985783877,76.68975347659459,Severe Stress,50.0,1,1.0,40.0,"{""type"":""Point"",""coordinates"":[76.68975347659459,29.745112985783877]}"
46,0.07664810000975776,-0.18682795763015747,0.095258429646492,-0.19366851449012756,0.07004573678507059,-21.37521876431608,-13.032775196276752,0.6097142653692047,10.0,Unclassified,GEE-PIXEL-46,Sowing/Planting,29.497657617791063,76.80503825675176,Severe Stress,50.0,1,1.0,40.0,"{""type"":""Point"",""coordinates"":[76.80503825675176,29.497657617791063]}"
47,0.060234812668422504,-0.18702289462089539,0.08899471163749695,-0.18883414566516876,0.05923905311699501,-20.46258664844036,-12.037428843184328,0.5882652881700613,10.0,Unclassified,GEE-PIXEL-47,Sowing/Planting,29.609283782204376,76.94126907120209,Severe Stress,50.0,1,1.0,40.0,"{""type"":""Point"",""coordinates"":[76.94126907120209,29.609283782204376]}"
48,0.06944444005437196,-0.12904058396816254,0.07103826850652695,-0.15500687062740326,0.05481727426727687,-27.616208305735654,-14.948518717218331,0.5412951370086815,10.0,Unclassified,GEE-PIXEL-48,Sowing/Planting,29.727934033692133,76.75698360289135,Severe Stress,50.0,1,1.0,40.0,"{""type"":""Point"",""coordinates"":[76.75698360289135,29.727934033692133]}"
49,0.6200554477914948,0.2570919692516327,0.7687488794326782,-0.5874698758125305,0.6085293355508622,-14.162268161128722,-9.117248804734105,0.6437704289153847,7.686172276735306,Paddy (Rice),GEE-PIXEL-49,Flowering,29.468887906962888,76.94660696464797,Severe Stress,37.145401537418365,1,0.7429080307483673,29.716321229934692,"{""type"":""Point"",""coordinates"":[76.94660696464797,29.468887906962888]}"
50,0.37285930935512823,0.00843836273998022,0.561836302280426,-0.5999553799629211,0.3680843594509265,-16.18565647471818,-9.417283538116234,0.5818289875764334,9.924054735340178,Unclassified,GEE-PIXEL-50,Flowering,29.57617834733949,76.67236055357098,Severe Stress,49.57808186300099,1,0.9915616372600198,39.66246549040079,"{""type"":""Point"",""coordinates"":[76.67236055357098,29.57617834733949]}"
51,0.09199634192215247,-0.1905428022146225,0.20388513803482056,-0.3064417839050293,0.11249885093343291,-17.943612481137293,-10.191372459675671,0.5679666253579476,10.0,Unclassified,GEE-PIXEL-51,Sowing/Planting,29.489810720926116,77.04577174820685,Severe Stress,50.0,1,1.0,40.0,"{""type"":""Point"",""coordinates"":[77.04577174820685,29.489810720926116]}"
52,0.6549193517146621,0.23058579862117767,0.9226828217506409,-0.855280876159668,0.6394448166761885,-13.592795178299308,-8.286127371913462,0.6095970602675747,7.924727812409401,Paddy (Rice),GEE-PIXEL-52,Flowering,29.509799706850742,76.67506406524542,Severe Stress,38.470710068941116,1,0.7694142013788223,30.776568055152893,"{""type"":""Point"",""coordinates"":[76.67506406524542,29.509799706850742]}"
54,0.10837036241147374,-0.1629631221294403,0.1385875642299652,-0.2023082822561264,0.09707760216428284,-21.765550774165142,-11.89701581409899,0.5465984520280891,10.0,Unclassified,GEE-PIXEL-54,Sowing/Planting,29.514073735274945,77.01626335746998,Severe Stress,50.0,1,1.0,40.0,"{""type"":""Point"",""coordinates"":[77.01626335746998,29.514073735274945]}"
55,0.19904532927222912,-0.04497605189681053,0.3183383643627167,-0.4174775183200836,0.22681764532204404,-20.004507807620314,-11.019626752528469,0.5508572072534558,10.0,Unclassified,GEE-PIXEL-55,Vegetative,29.652695982496528,76.97443233841217,Severe Stress,50.0,1,1.0,40.0,"{""type"":""Point"",""coordinates"":[76.97443233841217,29.652695982496528]}"
56,0.07251824878699799,-0.13500967621803284,0.07816090434789658,-0.15139031410217285,0.05908594169323176,-19.978310941447234,-8.673151925968119,0.4341284098298374,10.0,Unclassified,GEE-PIXEL-56,Sowing/Planting,29.888081529995475,77.10584025854108,Severe Stress,50.0,1,1.0,40.0,"{""type"":""Point"",""coordinates"":[77.10584025854108,29.888081529995475]}"
57,0.1234333620477915,-0.11292693763971329,0.17841212451457977,-0.27662894129753113,0.12652888717503538,-18.397606588867518,-10.658954953951845,0.5793664236612199,10.0,Unclassified,GEE-PIXEL-57,Sowing/Planting,29.838513693653994,76.70196535019525,Severe Stress,50.0,1,1.0,40.0,"{""type"":""Point"",""coordinates"":[76.70196535019525,29.838513693653994]}"
58,0.07746611517601003,-0.17501507699489594,0.09129708260297775,-0.1874454915523529,0.07460891176695612,-22.66938732867791,-12.48741685562942,0.5508493558042289,10.0,Unclassified,GEE-PIXEL-58,Sowing/Planting,29.583249397616243,76.79667349878414,Severe Stress,50.0,1,1.0,40.0,"{""type"":""Point"",""coordinates"":[76.79667349878414,29.583249397616243]}"
59,0.07719894499462399,-0.1727832704782486,0.09854146838188171,-0.17004795372486115,0.07737683861129038,-25.683839920437652,-16.51510330208247,0.6430153745023196,10.0,Unclassified,GEE-PIXEL-59,Sowing/Planting,29.878022954715377,76.82980500309206,Severe Stress,50.0,1,1.0,40.0,"{""type"":""Point"",""coordinates"":[76.82980500309206,29.878022954715377]}"
60,0.27292396382108464,-0.028599318116903305,0.39131060242652893,-0.44294098019599915,0.287655522172713,-18.29903355286101,-11.091744085038666,0.6061382782394416,10.0,Unclassified,GEE-PIXEL-60,Vegetative,29.473656604149678,76.9864942336911,Severe Stress,50.0,1,1.0,40.0,"{""type"":""Point"",""coordinates"":[76.9864942336911,29.473656604149678]}"
62,0.059277013336201625,-0.2403399646282196,0.08933842927217484,-0.1996859908103943,0.05617837012874184,-24.20217832989234,-12.543565421693279,0.5182825185815245,10.0,Unclassified,GEE-PIXEL-62,Sowing/Planting,29.740663094396034,76.83569909936737,Severe Stress,50.0,1,1.0,40.0,"{""type"":""Point"",""coordinates"":[76.83569909936737,29.740663094396034]}"
63,0.2980694969690647,0.04943637177348137,0.4092930853366852,-0.43481406569480896,0.2837378732769721,-18.841950090897743,-11.675578774662508,0.6196587581431691,9.555072654038668,Unclassified,GEE-PIXEL-63,Vegetative,29.603059492594234,77.077737883318,Severe Stress,47.52818141132593,1,0.9505636282265186,38.022545129060745,"{""type"":""Point"",""coordinates"":[77.077737883318,29.603059492594234]}"
64,0.18393057810654895,-0.04515828937292099,0.28443124890327454,-0.33578985929489136,0.18811504650412447,-19.743976132535433,-12.788489008933322,0.6477160208665175,10.0,Unclassified,GEE-PIXEL-64,Vegetative,29.654089149296464,77.04054535838742,Severe Stress,50.0,1,1.0,40.0,"{""type"":""Point"",""coordinates"":[77.04054535838742,29.654089149296464]}"
65,0.09304496242821739,-0.1760706901550293,0.11895550787448883,-0.21917808055877686,0.08703259204197862,-19.812736084880683,-10.466193239368904,0.5282558513264417,10.0,Unclassified,GEE-PIXEL-65,Sowing/Planting,29.820553564002278,76.99498027105675,Severe Stress,50.0,1,1.0,40.0,"{""type"":""Point"",""coordinates"":[76.99498027105675,29.820553564002278]}"
66,0.29662411878151657,0.0933116152882576,0.48253732919692993,-0.5278174877166748,0.32708235381575124,-19.4611457328564,-10.421664811914193,0.5355113974523408,9.160195462405682,Unclassified,GEE-PIXEL-66,Vegetative,29.611280481109137,77.03592527498891,Severe Stress,45.33441923558712,1,0.9066883847117424,36.267535388469696,"{""type"":""Point"",""coordinates"":[77.03592527498891,29.611280481109137]}"
67,0.16234499195475882,-0.09815448522567749,0.18540772795677185,-0.2341376096010208,0.1356603531608117,-23.138574262807957,-13.122047098390244,0.5671070099850155,10.0,Unclassified,GEE-PIXEL-67,Sowing/Planting,29.579163830164138,76.77418656892463,Severe Stress,50.0,1,1.0,40.0,"{""type"":""Point"",""coordinates"":[76.77418656892463,29.579163830164138]}"
68,0.21058011094815965,-0.03572337329387665,0.2392219603061676,-0.3266652226448059,0.19332913154643866,-20.380115486734624,-11.867709154861018,0.5823180808226415,10.0,Unclassified,GEE-PIXEL-68,Sowing/Planting,29.5626337337715,76.93504019707058,Severe Stress,50.0,1,1.0,40.0,"{""type"":""Point"",""coordinates"":[76.93504019707058,29.5626337337715]}"
69,0.08607010268541476,-0.21546171605587006,0.10269755870103836,-0.2063492089509964,0.07056143976808844,-19.280316755166808,-12.235838301773619,0.6346285225383104,10.0,Unclassified,GEE-PIXEL-69,Sowing/Planting,29.631963756032157,76.79141667888116,Severe Stress,50.0,1,1.0,40.0,"{""type"":""Point"",""coordinates"":[76.79141667888116,29.631963756032157]}"
72,0.08664518323219492,-0.18840579688549042,0.11165215075016022,-0.21497811377048492,0.08327233178544048,-22.236635050665438,-12.424680030027503,0.5587482350844233,10.0,Unclassified,GEE-PIXEL-72,Sowing/Planting,29.527779557269042,76.70425102101065,Severe Stress,50.0,1,1.0,40.0,"{""type"":""Point"",""coordinates"":[76.70425102101065,29.527779557269042]}"
73,0.3220681199221588,0.06696351617574692,0.38845527172088623,-0.4426761567592621,0.29095182791755725,-20.075542630800133,-10.601800140288502,0.5280953478247927,9.397328354418278,Unclassified,GEE-PIXEL-73,Vegetative,29.916102750225527,77.04895511234287,Severe Stress,46.651824191212654,1,0.9330364838242531,37.32145935297012,"{""type"":""Point"",""coordinates"":[77.04895511234287,29.916102750225527]}"
74,0.08077045998320612,-0.2258780151605606,0.10337550938129425,-0.20091846585273743,0.06687896923284764,-18.87703141512477,-9.934545343661641,0.5262769156583985,10.0,Unclassified,GEE-PIXEL-74,Sowing/Planting,29.6084932667857,76.73356741360155,Severe Stress,50.0,1,1.0,40.0,"{""type"":""Point"",""coordinates"":[76.73356741360155,29.6084932667857]}"
75,0.24157302767132002,0.013680770061910152,0.35599127411842346,-0.39865168929100037,0.25557872132808346,-17.354122036344368,-11.049665937725699,0.6367171183481214,9.876873069442809,Unclassified,GEE-PIXEL-75,Vegetative,29.54357618234505,76.87993613633495,Severe Stress,49.31596149690449,1,0.9863192299380898,39.452769197523594,"{""type"":""Point"",""coordinates"":[76.87993613633495,29.54357618234505]}"
76,0.07296111056538446,-0.13721151649951935,0.11280503869056702,-0.19250735640525818,0.07132386351532131,-19.222377834231136,-9.54320122507083,0.49646312250399405,10.0,Unclassified,GEE-PIXEL-76,Sowing/Planting,29.743822269113437,76.88663408433987,Severe Stress,50.0,1,1.0,40.0,"{""type"":""Point"",""coordinates"":[76.88663408433987,29.743822269113437]}"
78,0.07858676219729188,-0.1887831687927246,0.08104489743709564,-0.16842105984687805,0.06616844836404075,-25.094097514262145,-13.509815883634179,0.5383662996576075,10.0,Unclassified,GEE-PIXEL-78,Sowing/Planting,29.471791761508065,76.94832816914065,Severe Stress,50.0,1,1.0,40.0,"{""type"":""Point"",""coordinates"":[76.94832816914065,29.471791761508065]}"
79,0.33767623518023804,0.10889729857444763,0.5917159914970398,-0.6716727018356323,0.397526512581378,-19.03348690739429,-10.22193641067912,0.5370501473252473,9.019924312829971,Unclassified,GEE-PIXEL-79,Flowering,29.641348309012294,76.98235091037168,Severe Stress,44.55513507127762,1,0.8911027014255524,35.644108057022095,"{""type"":""Point"",""coordinates"":[76.98235091037168,29.641348309012294]}"
80,0.01791508921034788,-0.06797267496585846,0.01725822314620018,-0.09407667070627213,0.014270328990937307,-23.609731734962228,-12.078803620269586,0.5116027690389037,10.0,Unclassified,GEE-PIXEL-80,Sowing/Planting,29.929251950582234,77.11709293765352,Severe Stress,50.0,1,1.0,40.0,"{""type"":""Point"",""coordinates"":[77.11709293765352,29.929251950582234]}"
81,0.3512482120303376,0.04639887437224388,0.6473153233528137,-0.7150964736938477,0.41094703962405144,-16.79912010029479,-11.43742129690552,0.6808345859459272,9.582410130649805,Unclassified,GEE-PIXEL-81,Flowering,29.522097299916464,76.81546123774439,Severe Stress,47.680056281387806,1,0.9536011256277561,38.144045025110245,"{""type"":""Point"",""coordinates"":[76.81546123774439,29.522097299916464]}"
83,0.07064419106110932,-0.09346111863851547,0.10264179855585098,-0.1858638972043991,0.0687746754469649,-19.868981760998604,-9.62964768691444,0.4846573562453065,10.0,Unclassified,GEE-PIXEL-83,Sowing/Planting,29.813372736328056,77.0961433565679,Severe Stress,50.0,1,1.0,40.0,"{""type"":""Point"",""coordinates"":[77.0961433565679,29.813372736328056]}"
84,0.09347425762612913,-0.09567733854055405,0.09361328184604645,-0.1571025550365448,0.06707061339870002,-25.17918798269719,-13.22779051085661,0.5253462123279269,10.0,Unclassified,GEE-PIXEL-84,Sowing/Planting,29.965145805625152,77.1553462815549,Severe Stress,50.0,1,1.0,40.0,"{""type"":""Point"",""coordinates"":[77.1553462815549,29.965145805625152]}"
85,0.30074947745425995,0.0011336661409586668,0.45734548568725586,-0.5002729892730713,0.3170347668209947,-17.977278931765458,-9.587771682410745,0.5333272211066705,9.989797004731372,Unclassified,GEE-PIXEL-85,Vegetative,29.902294568267767,76.7922961617674,Severe Stress,49.94331669295207,1,0.9988663338590413,39.95465335436165,"{""type"":""Point"",""coordinates"":[76.7922961617674,29.902294568267767]}"
86,0.10255872813580273,-0.08443597704172134,0.09431992471218109,-0.14169074594974518,0.07010324707596337,-17.037662139604947,-9.490241248061746,0.557015494691415,10.0,Unclassified,GEE-PIXEL-86,Sowing/Planting,29.498106795901833,76.83622009168747,Severe Stress,50.0,1,1.0,40.0,"{""type"":""Point"",""coordinates"":[76.83622009168747,29.498106795901833]}"
88,0.4887133301919997,0.201765239238739,0.6171021461486816,-0.5722863674163818,0.42312704601252815,-14.776531745774255,-8.820212790379147,0.5969068749714153,8.184112846851349,Unclassified,GEE-PIXEL-88,Flowering,29.95091560200766,77.08546813271879,Severe Stress,39.91173803806305,1,0.798234760761261,31.92939043045044,"{""type"":""Point"",""coordinates"":[77.08546813271879,29.95091560200766]}"
89,0.04014063146283089,-0.1393471509218216,0.055986203253269196,-0.14686621725559235,0.04043964111872554,-17.644735136579772,-9.690587505781277,0.5492056400947102,10.0,Unclassified,GEE-PIXEL-89,Sowing/Planting,29.926679507223653,77.11089965149098,Severe Stress,50.0,1,1.0,40.0,"{""type"":""Point"",""coordinates"":[77.11089965149098,29.926679507223653]}"
90,0.11240360632192575,-0.14861845970153809,0.1335991472005844,-0.19619716703891754,0.09630387206946517,-20.435405791469826,-9.664665313478585,0.47293730719309374,10.0,Unclassified,GEE-PIXEL-90,Sowing/Planting,29.794854569748797,76.80203222717701,Severe Stress,50.0,1,1.0,40.0,"{""type"":""Point"",""coordinates"":[76.80203222717701,29.794854569748797]}"
